# Crustal GMPE, Moratalla
3.0 2.5 12.589
3.0 3.0 6.818
3.0 3.5 3.475
3.0 4.0 0.684
3.1 2.5 14.125
3.1 3.0 8.086
3.1 3.5 4.428
3.1 4.0 1.636
3.2 2.5 15.849
3.2 3.0 9.485
3.2 3.5 5.464
3.2 4.0 2.409
3.3 2.5 17.783
3.3 3.0 11.047
3.3 3.5 6.599
3.3 4.0 3.260
3.3 4.5 0.256
3.4 2.5 19.953
3.4 3.0 12.790
3.4 3.5 7.854
3.4 4.0 4.190
3.4 4.5 1.426
3.5 2.5 25.119
3.5 3.0 14.746
3.5 3.5 9.237
3.5 4.0 5.208
3.5 4.5 2.170
3.6 2.5 28.184
3.6 3.0 16.953
3.6 3.5 10.781
3.6 4.0 6.328
3.6 4.5 2.991
3.6 5.0 0.071
3.7 2.5 31.623
3.7 3.0 19.452
3.7 3.5 12.514
3.7 4.0 7.554
3.7 4.5 3.898
3.7 5.0 1.159
3.8 2.5 35.481
3.8 3.0 22.288
3.8 3.5 14.456
3.8 4.0 8.925
3.8 4.5 4.891
3.8 5.0 1.873
3.9 2.5 39.811
3.9 3.0 25.510
3.9 3.5 16.651
3.9 4.0 10.443
3.9 4.5 5.981
3.9 5.0 2.662
3.9 5.5 0.261
4.0 2.5 44.668
4.0 3.0 29.183
4.0 3.5 19.139
4.0 4.0 12.151
4.0 4.5 7.189
4.0 5.0 3.539
4.0 5.5 1.408
4.1 2.5 50.119
4.1 3.0 33.377
4.1 3.5 21.963
4.1 4.0 14.070
4.1 4.5 8.509
4.1 5.0 4.468
4.1 5.5 2.028
4.1 6.0 0.010
4.2 2.5 63.096
4.2 3.0 38.174
4.2 3.5 25.182
4.2 4.0 16.234
4.2 4.5 9.996
4.2 5.0 5.501
4.2 5.5 2.781
4.2 6.0 0.143
4.3 2.5 70.795
4.3 3.0 43.664
4.3 3.5 28.851
4.3 4.0 18.690
4.3 4.5 11.655
4.3 5.0 6.653
4.3 5.5 3.641
4.3 6.0 1.314
4.4 2.5 79.433
4.4 3.0 49.955
4.4 3.5 33.055
4.4 4.0 21.490
4.4 4.5 13.534
4.4 5.0 7.946
4.4 5.5 4.603
4.4 6.0 2.135
4.5 2.5 89.125
4.5 3.0 57.162
4.5 3.5 37.887
4.5 4.0 24.693
4.5 4.5 15.668
4.5 5.0 9.382
4.5 5.5 5.673
4.5 6.0 3.031
4.5 6.5 0.026
4.6 2.5 100.000
4.6 3.0 65.190
4.6 3.5 43.293
4.6 4.0 28.259
4.6 4.5 18.020
4.6 5.0 10.957
4.6 5.5 6.817
4.6 6.0 3.981
4.6 6.5 1.125
4.7 2.5 112.202
4.7 3.0 74.311
4.7 3.5 49.485
4.7 4.0 32.328
4.7 4.5 20.685
4.7 5.0 12.724
4.7 5.5 8.090
4.7 6.0 5.006
4.7 6.5 2.125
4.8 2.5 125.893
4.8 3.0 84.401
4.8 3.5 56.569
4.8 4.0 36.987
4.8 4.5 23.719
4.8 5.0 14.709
4.8 5.5 9.498
4.8 6.0 6.119
4.8 6.5 3.125
4.8 7.0 0.217
4.9 2.5 141.254
4.9 3.0 95.391
4.9 3.5 64.629
4.9 4.0 42.312
4.9 4.5 27.169
4.9 5.0 16.949
4.9 5.5 11.070
4.9 6.0 7.341
4.9 6.5 4.153
4.9 7.0 1.802
5.0 2.5 158.489
5.0 3.0 107.555
5.0 3.5 73.803
5.0 4.0 48.416
5.0 4.5 31.111
5.0 5.0 19.489
5.0 5.5 12.820
5.0 6.0 8.688
5.0 6.5 5.250
5.0 7.0 2.916
5.0 7.5 0.049
5.1 2.5 177.828
5.1 3.0 119.876
5.1 3.5 83.026
5.1 4.0 54.601
5.1 4.5 35.011
5.1 5.0 21.927
5.1 5.5 14.424
5.1 6.0 9.899
5.1 6.5 6.232
5.1 7.0 3.873
5.1 7.5 1.385
5.2 2.5 199.526
5.2 3.0 133.182
5.2 3.5 92.893
5.2 4.0 61.522
5.2 4.5 39.364
5.2 5.0 24.618
5.2 5.5 16.158
5.2 6.0 11.187
5.2 6.5 7.285
5.2 7.0 4.811
5.2 7.5 2.415
5.3 2.5 223.872
5.3 3.0 147.765
5.3 3.5 103.873
5.3 4.0 69.428
5.3 4.5 44.346
5.3 5.0 27.672
5.3 5.5 18.103
5.3 6.0 12.614
5.3 6.5 8.417
5.3 7.0 5.793
5.3 7.5 3.373
5.3 8.0 0.209
5.4 2.5 223.872
5.4 3.0 163.525
5.4 3.5 115.934
5.4 4.0 78.348
5.4 4.5 49.996
5.4 5.0 31.111
5.4 5.5 20.265
5.4 6.0 14.181
5.4 6.5 9.610
5.4 7.0 6.820
5.4 7.5 4.310
5.4 8.0 1.713
5.5 2.5 251.189
5.5 3.0 180.496
5.5 3.5 129.125
5.5 4.0 87.929
5.5 4.5 56.410
5.5 5.0 34.998
5.5 5.5 22.681
5.5 6.0 15.915
5.5 6.5 10.951
5.5 7.0 7.921
5.5 7.5 5.259
5.5 8.0 2.709
5.6 2.5 281.838
5.6 3.0 194.370
5.6 3.5 139.986
5.6 4.0 95.700
5.6 4.5 61.655
5.6 5.0 38.092
5.6 5.5 24.372
5.6 6.0 17.078
5.6 6.5 11.939
5.6 7.0 8.700
5.6 7.5 5.903
5.6 8.0 3.308
5.7 2.5 281.838
5.7 3.0 208.901
5.7 3.5 151.400
5.7 4.0 104.079
5.7 4.5 67.405
5.7 5.0 41.480
5.7 5.5 26.196
5.7 6.0 18.328
5.7 6.5 12.995
5.7 7.0 9.520
5.7 7.5 6.565
